0,1
b'@RogueLab checking Yes!\n',59518710
b'@marleyterrier Hi Marley! how are you today?\n',59518710
b'@CokieTheCat I have a kitteh brother?\n',59518710
b'@SydPie Good purple kitty. Lay your head down now...\n',59518710
b'@OatieDog I think this is the biggest one they make! hehe!\n',59518710
"b""@baithecatahoula Hey Bailey! How was mom's nap? She must have needed it!\n""",59518710
b'@OatieDog What? Your engaged? I am so out of the loop! Congratulations to you and @paddythegreat!\n',59518710
"b'@lexiloudog I believe they all pawty with us at RB in their happiest, healthiest state. #pawpawty\n'",59518710
b'@GiantGeorgeAZ Good luck! Stand tall you great representation of the dane breed!\n',59518710
"b""@Pansythepuppy I haven't seen you in a while! Mom has been crazy busy. Sorry about the thing on your paw. Looks like it hurts.\n""",59518710
b'@MisterSnoop Oh good! I think it would start at 1 am on Sat. your time. #dudefest http://tinyurl.com/yaykjfz\n',59518710
b'@BloodhoundNdots Not like it at all. Terrible!\n',59518710
b'@trailerparkdogs OMD your #chickfest costumes were good!\n',59518710
"b'@tweetypie54 Hey, so glad u could make it! Have a carrotini in @ThePrincessLil honor. Cheers! #pawty\n'",59518710
"b""@OatieDog I don't know anything about Chanukah. When is the club?\n""",59518710
b'@MisterSnoop Best cake and ice cream EVER! Thank you so much! *pours bacon whiskey to finish* #dudefest @BrunoTheDog\n',59518710
b'@HankTheDoggy She got too lazy to frost the cookies and it is Monday Night Football tonight. Maybe tomorrow!\n',59518710
b'@LadyBonessa Thank you! Are you having fun? Have you and Paddy seen @OatieDog yet?\n',59518710
b'@mattiedog #DUDEFEST site for menus and schedules and donations! http://tinyurl.com/yzygywf\n',59518710
b'@OzzytheRockDog I was just having a slight rant about the safety of Twitter for young anipals. I did my first #AskDrBrutus blog yesterday!\n',59518710
b'@LadyBonessa Would you like some Cheesy Bacon Beer Soup at #squirrelclub today?\n',59518710
"b'@SydPie Wow, that cool you get to go to doggie therapy. I totally hope it works!\n'",59518710
b'@lexingtonthepup My prob is that I just want to play and I get very rough. 150 lbs of rough is dangerous for tiny puppies!\n',59518710
"b'@Petiethecat Do you puke in piles or lines? Mom says he kittehs always left long lines, not piles.\n'",59518710
b'@SydPie Mom bought grandma some roller skates for her birthday this year and we got to pull her around the island. It was pawesome!\n',59518710
"b'@LittleDunkin Bacon beer, bacon beer!  http://twitpic.com/ofzm3\n'",59518710
b'@schnille Dad lived in Frankfurt and Mainz. G Force movie was big in US this weekend. Good for the G pigs!\n',59518710
b'@tweetypie54 Good morning! How was the rest of your #PirateDay yesterday? #purrs4peace\n',59518710
b'#pawpawty SEKURITY ALERT: Our DJ @lexingtonthepup is in jail but not by me! @sanjeethecat & @BunnyJeanCook will spin your tunes! #ppsr\n',59518710
b'Welcoming incoming barktender @sanjeethecat and DJ @Dogstoyevsky to #dudefest! Keep the pawty rolling!\n',59518710
"b""@BaronVonOdem hey man! What's up today? Good to see you!\n""",59518710
